Technology,Year,Power_kW,Hub_m,Dia_m,X_coord,Y_coord,PS_Year,PS_Hub,PS_Dia
wind power,"2008","2000",100.00000000000,92.00000000000,4321644.41449000030,2824399.26052000000,,,
wind power,"2000","750",70.00000000000,48.00000000000,4292984.90675000010,2809050.23997000000,,,
wind power,"2000","750",70.00000000000,48.00000000000,4293009.47924000020,2808379.23019000000,,,
wind power,"2000","750",70.00000000000,48.00000000000,4292995.61079000030,2808782.83638999980,,,
wind power,"2007","1500",93.60000000000,82.00000000000,4311252.28691999990,2818474.12943999980,,,
wind power,"2007","1500",108.60000000000,82.00000000000,4310894.58127999960,2817430.22697000020,,,
wind power,"2007","1500",108.60000000000,82.00000000000,4311303.99536999970,2817764.78392999990,,,
wind power,"2007","1500",108.60000000000,82.00000000000,4310641.24992999990,2817719.51780000000,,,
wind power,"2007","1500",93.60000000000,82.00000000000,4311462.48276999970,2818158.40540000000,,,
wind power,"2001","900",73.80000000000,52.00000000000,4310570.44531000030,2771894.94713000020,,,
wind power,"2004","1800",99.00000000000,70.00000000000,4164332.35812000000,2768792.54100999980,,,
wind power,"2004","1500",85.00000000000,77.00000000000,4186985.58045999990,2748527.56106999980,,,
wind power,"2013","3000",135.50000000000,101.00000000000,4176843.20891000000,2773643.73630000000,,,
wind power,"2013","3000",135.50000000000,101.00000000000,4176475.79432999990,2773700.88366999990,,,
wind power,"2010","2300",113.50000000000,71.00000000000,4176873.12851000020,2773262.47591000000,,,
wind power,"2006","2000",85.00000000000,71.00000000000,4177126.96732999990,2772792.10148000020,,,
wind power,"2006","2000",85.00000000000,71.00000000000,4177143.18080000020,2773181.70881999980,,,
wind power,"2001","600",77.50000000000,44.00000000000,4177237.64648000010,2772464.68225000010,,,
wind power,"1999","750",74.00000000000,52.00000000000,4219415.66719000040,2855571.30012999990,,,
wind power,"2007","2000",100.00000000000,80.00000000000,4207907.57574000020,2836577.45971000010,,,
wind power,"2007","2000",125.00000000000,90.00000000000,4207570.40894000050,2834927.54988999990,,,
wind power,"2007","2000",125.00000000000,90.00000000000,4207844.46054000030,2835222.68383000000,,,
wind power,"2007","2000",125.00000000000,90.00000000000,4207965.42910000030,2835815.85644999980,,,
wind power,"2007","2000",125.00000000000,90.00000000000,4208011.44560000020,2836190.12394999990,,,
wind power,"2007","2000",125.00000000000,90.00000000000,4207905.45153000020,2835519.76342000020,,,
wind power,"2007","2000",100.00000000000,80.00000000000,4207399.79370000030,2835485.76402000010,,,
wind power,"2007","2000",100.00000000000,80.00000000000,4207579.47776999980,2835756.20856000020,,,
wind power,"2007","2000",100.00000000000,80.00000000000,4207750.18609000000,2836028.77721000000,,,
wind power,"1999","500",77.00000000000,46.00000000000,4154017.14021999990,2792953.89006000010,,,
wind power,"2002","1800",86.00000000000,70.00000000000,4167768.29345000020,2789128.44370000020,,,
wind power,"2004","2000",100.00000000000,66.00000000000,4168809.34782999990,2785292.24851999990,,,
wind power,"2003","1800",65.00000000000,70.00000000000,4181110.17114000020,2783066.93025000020,,,
wind power,"2011","2300",138.00000000000,82.00000000000,4168995.66267000000,2787250.84159999990,,,
wind power,"2002","1800",87.00000000000,66.00000000000,4169866.53965000020,2786466.85582999980,,,
wind power,"2001","1800",86.00000000000,70.00000000000,4169030.09241000000,2786684.57865000000,,,
wind power,"2000","1000",70.00000000000,60.00000000000,4177728.05199000010,2772626.71343000000,,,
wind power,"2000","1000",70.00000000000,60.00000000000,4178102.33280000000,2772334.57183999990,,,
wind power,"2000","1000",70.00000000000,60.00000000000,4177893.91257999980,2772460.44973000000,,,
wind power,"2014","3050",135.40000000000,101.00000000000,4168985.07431000010,2783623.43420000000,,,
wind power,"2007","2000",105.00000000000,90.00000000000,4194034.01854000010,2810912.34390000020,,,
wind power,"2007","2000",105.00000000000,90.00000000000,4194039.21552000010,2811376.12363999990,,,
wind power,"2007","2000",105.00000000000,90.00000000000,4194093.14465000010,2811144.44627000020,,,
wind power,"2015","2350",138.38000000000,92.00000000000,4193875.79449999980,2811649.31166000010,,,
wind power,"2007","2000",125.00000000000,90.00000000000,4207077.88793999980,2834154.56331000010,,,
wind power,"2007","2000",125.00000000000,90.00000000000,4207239.64805999960,2834431.25401999990,,,
wind power,"2007","2000",125.00000000000,90.00000000000,4207627.68616999970,2833898.02860999990,,,
wind power,"2007","2000",125.00000000000,90.00000000000,4207528.32144000010,2834173.32936999990,,,
wind power,"2007","2000",125.00000000000,90.00000000000,4207286.77085999960,2833914.73833000010,,,
wind power,"2001","800",74.50000000000,50.00000000000,4205805.72405999990,2809897.20478999990,,,
wind power,"2001","800",74.50000000000,50.00000000000,4205838.51831999980,2810105.68447999980,,,
wind power,"2012","2000",138.38000000000,82.00000000000,4214241.85113000030,2811115.26309000000,,,
wind power,"2002","1500",100.00000000000,77.00000000000,4205320.47259000040,2824664.48012000000,,,
wind power,"2013","2300",113.50000000000,71.00000000000,4208419.70796000030,2803349.15989999990,,,
wind power,"2000","600",77.50000000000,44.00000000000,4212215.00537000040,2815702.80843000020,,,
wind power,"2003","850",74.00000000000,52.00000000000,4211807.90099999960,2818185.68244000010,,,
wind power,"1998","600",60.00000000000,43.00000000000,4232737.98680999970,2817993.31954000010,,,
wind power,"2002","850",74.00000000000,52.00000000000,4310606.25308000020,2839294.42545000000,,,
wind power,"2006","2000",105.00000000000,92.00000000000,4309950.63279000020,2838658.27039000020,,,
wind power,"2006","2000",105.00000000000,90.00000000000,4310045.01664999970,2838304.14233000020,,,
wind power,"2002","850",74.00000000000,52.00000000000,4310571.95990999970,2839120.93385000010,,,
wind power,"2002","850",74.00000000000,52.00000000000,4310567.98804000020,2838971.03427999980,,,
wind power,"2002","850",74.00000000000,52.00000000000,4310576.56006000000,2838785.98199999980,,,
wind power,"2002","2000",78.00000000000,80.00000000000,4302439.13408000020,2829953.24184999990,,,
wind power,"2002","2000",78.00000000000,80.00000000000,4302442.53505999970,2829679.28731000000,,,
wind power,"2005","2000",105.00000000000,91.00000000000,4302508.89943999980,2829400.50350000010,,,
wind power,"2005","2000",105.00000000000,90.00000000000,4302813.56147000010,2829136.56654000000,,,
wind power,"1999","750",70.00000000000,48.00000000000,4293004.12108999960,2827071.11824999980,,,
wind power,"1999","750",70.00000000000,48.00000000000,4292992.84326000050,2826670.39845999980,,,
wind power,"1999","750",70.00000000000,48.00000000000,4293483.19974000010,2826604.91324000010,,,
wind power,"1999","750",70.00000000000,48.00000000000,4292951.97776999980,2826454.01074999990,,,
wind power,"1999","750",70.00000000000,48.00000000000,4293044.24034000000,2826318.83112999980,,,
wind power,"1999","750",70.00000000000,48.00000000000,4292897.13229000010,2826923.58643000010,,,
wind power,"2000","850",74.00000000000,52.00000000000,4299356.97563999980,2826847.02229000020,,,
wind power,"2000","850",74.00000000000,52.00000000000,4299472.70961000030,2826518.60119999990,,,
wind power,"2000","850",74.00000000000,52.00000000000,4299093.54695000030,2826366.66765999980,,,
wind power,"2007","1500",85.00000000000,70.00000000000,4317295.51697000020,2842238.45379999980,,,
wind power,"2001","1500",85.00000000000,70.00000000000,4317131.61887000040,2843012.35313000020,,,
wind power,"2001","1500",85.00000000000,70.00000000000,4317137.01360000020,2842585.42221000000,,,
wind power,"2001","1500",85.00000000000,70.00000000000,4317160.64477999970,2842785.04612000010,,,
wind power,"1996","600",50.00000000000,44.00000000000,4310925.87253000030,2838875.35099999980,,,
wind power,"2011","2700",100.00000000000,100.00000000000,4309915.78944000040,2838975.62710999980,,,
wind power,"2001","1000",74.00000000000,52.00000000000,4311079.99055999980,2839260.19527000000,,,
wind power,"2002","1500",85.00000000000,77.00000000000,4317124.07825999990,2838477.95728000020,,,
wind power,"2003","1500",85.00000000000,77.00000000000,4315476.62557000010,2837121.05791000000,,,
wind power,"2003","1500",85.00000000000,77.00000000000,4315346.13238000030,2836858.86102999980,,,
wind power,"2002","1500",85.00000000000,77.00000000000,4317017.57390000020,2837985.52270000010,,,
wind power,"2002","1500",85.00000000000,77.00000000000,4317059.61347000020,2838215.89258000020,,,
wind power,"2009","800",73.25000000000,53.00000000000,4320611.34941999990,2842892.70398999980,,,
wind power,"2009","2000",99.38000000000,82.00000000000,4321541.76042999980,2842440.65157999980,,,
wind power,"2009","2000",99.38000000000,82.00000000000,4320501.99801999980,2842183.37491999990,,,
wind power,"2009","2000",99.38000000000,82.00000000000,4320489.22312999980,2842429.46098000000,,,
wind power,"2009","2000",99.38000000000,82.00000000000,4320841.28713999970,2841891.02314999980,,,
wind power,"2009","2000",99.38000000000,82.00000000000,4320512.75891000030,2841936.31660000000,,,
wind power,"2009","2000",99.38000000000,82.00000000000,4320996.39580000010,2842275.85870999980,,,
wind power,"2009","2000",99.38000000000,82.00000000000,4321176.17456999980,2842101.56014000020,,,
wind power,"2009","2000",99.38000000000,82.00000000000,4321569.99402000010,2842000.42981000010,,,
wind power,"2001","660",76.00000000000,47.00000000000,4316379.13683000020,2838275.81067000000,,,
wind power,"2001","660",76.00000000000,47.00000000000,4316292.29667000010,2837681.15206000020,,,
wind power,"2001","660",76.00000000000,47.00000000000,4316318.96626999970,2837883.73306000000,,,
wind power,"2001","660",76.00000000000,47.00000000000,4316343.64855999970,2838087.33986000020,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4276860.07715000030,2909924.91966000010,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4277835.24579999970,2909990.78828000000,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4277385.28531999980,2910003.84096999980,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4278116.87600999980,2909506.06944999980,,,
wind power,"2014","2350",138.38000000000,92.00000000000,4279783.66402000000,2887113.37404000010,,,
wind power,"2014","2350",138.38000000000,92.00000000000,4279631.08686999980,2887450.35894999980,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4278279.00822000020,2909211.93062999980,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4278537.90340000020,2908146.60501000010,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4279857.11586999990,2908733.78001999990,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4279477.26417000030,2908978.85069999980,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4278979.17934999990,2908908.55866000010,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4278853.50155999980,2909311.18962999990,,,
wind power,"2015","3000",149.00000000000,115.00000000000,4280565.73163999990,2908839.24005000010,,,
